fecha,pregunta
2025-01-18 15:58:12,cuantos perritos hay
2025-01-18 16:30:10,cuantos pericos hay
2025-01-18 16:30:33,cuantos caracoles hay
2025-01-18 16:31:58,cuantos son lo maximos
2025-01-18 16:33:13,cual es el maxomo
2025-01-18 17:08:33,cuantos pericos pasaron
2025-01-18 17:09:19,cuantas vagonetas se detectaron
2025-01-18 17:19:48,dame los promedios pro dia
2025-01-18 17:20:16,quiero saber las tendencias
2025-01-18 17:21:13,quiero saber las tendencias
2025-01-20 22:19:31,Cuál ha sido el día que más vagonetas se detectaron
2025-01-20 22:31:04,Cuantos perros faltan 
2025-01-21 15:25:41,quiero saber estadísticas específicas
2025-01-21 19:58:11,dime cuantos vagonetas detectas
2025-01-21 20:55:28,quiero ver tendencias diarias
2025-01-21 20:55:42,dame las tendencias diarias
2025-01-21 21:38:02,cuales son las tendencias diarias
2025-01-22 15:07:33,cuando fue la ultima fotografía tomada?
2025-01-23 05:59:15,Cual es el avance del proyecto?
2025-01-23 06:00:24,Qué dias de la semana es más probable encontrar maquinaria? y cual es el menos probable?
